Tangra v3.7.0.5
Measurments of 4 objects
D:\SharpCap Captures\(75975) 2000 CD121\2025-12-04\Light\08_48_48Z_.adv
Asteroidal Video (ADV2.16), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,asi462mm,,7,1383,,ADV,8.0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,3.09,4.78,2.33,yes,141.7,253.0,no
2,GuidingStar,3.09,,2.32,yes,105.9,276.7,no
3,GuidingStar,3.09,,2.37,yes,165.0,142.9,no
4,GuidingStar,3.09,,2.32,yes,365.9,244.6,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3),Signal (4), Background (4)
142,[08:48:56.767],78996,45880,101770,46035,109230,45506,147720,44184
143,[08:48:56.827],82545,43143,107230,42532,100160,45871,160960,43954
144,[08:48:56.887],78262,44422,110660,43122,107500,46582,160050,43521
145,[08:48:56.948],78514,42005,99378,45207,102890,46131,168590,45763
146,[08:48:57.008],79761,43718,94558,42231,114760,47779,171940,43713
147,[08:48:57.068],85551,47030,95652,43429,102920,44858,158500,43940
148,[08:48:57.128],82971,43042,104660,44207,109720,45324,168410,44248
149,[08:48:57.187],83454,46945,104460,47292,110490,45711,148710,43086
150,[08:48:57.247],89325,44240,112470,46817,105540,45821,143430,42571
151,[08:48:57.307],82375,46955,103290,45044,100990,46139,172750,44586
152,[08:48:57.367],81268,41525,110320,41129,110460,42968,164430,45784
153,[08:48:57.427],81748,42683,103100,45458,97889,46214,162060,44940
154,[08:48:57.487],88270,44294,110900,48608,114630,45905,165260,45731
155,[08:48:57.547],84854,47342,96823,45488,108750,45258,164940,44177
156,[08:48:57.608],84890,47448,113120,46406,106970,43876,163360,42282
157,[08:48:57.667],86174,46465,99120,45018,103340,46480,163700,43182
158,[08:48:57.727],80878,43761,106540,48278,93536,46660,152990,44322
159,[08:48:57.788],92582,43931,109040,40367,104490,44713,157330,39615
160,[08:48:57.848],77928,45549,100730,46552,105210,47168,157060,44865
161,[08:48:57.908],90366,43705,100400,44063,113610,44599,158920,44667
162,[08:48:57.968],79306,46122,112580,44652,97201,47512,160620,39945
163,[08:48:58.028],82476,44669,112130,44065,92200,45294,156420,45093
164,[08:48:58.088],82831,44871,102250,44978,94538,43522,154080,45285
165,[08:48:58.147],84912,45903,102830,47065,107000,45314,157990,44664
166,[08:48:58.207],86648,45858,98804,46195,97975,45800,171880,44493
167,[08:48:58.267],83779,45464,100120,43243,109220,46790,143690,43796
168,[08:48:58.327],87719,46757,102760,45119,115880,44922,165360,44399
169,[08:48:58.387],79485,45583,97769,41603,99408,44681,185310,44041
170,[08:48:58.448],76456,45801,99584,44994,110740,47105,161020,41393
171,[08:48:58.507],92787,45441,95821,44228,85682,44723,150400,45250
172,[08:48:58.569],82522,44654,96954,46859,105710,46197,158550,42234
173,[08:48:58.628],78989,44172,102560,45955,112440,46359,155320,45237
174,[08:48:58.688],84278,46511,97524,46267,98572,41675,158430,44676
175,[08:48:58.748],77619,44935,100170,47077,102580,47320,175560,45095
176,[08:48:58.808],84128,44800,100840,45802,111610,46410,167750,44383
177,[08:48:58.868],90311,43923,96605,45380,102930,46079,152450,43013
178,[08:48:58.928],84977,44653,108310,47360,113030,46504,145930,43862
179,[08:48:58.988],78754,46404,95925,44922,107960,47380,156630,42938
180,[08:48:59.048],88615,44425,98958,45602,95427,45845,147940,45453
181,[08:48:59.108],84276,39360,91717,44570,94358,45401,171030,43013
182,[08:48:59.168],83385,43023,97045,48406,107130,44789,152890,46414
183,[08:48:59.228],95767,46491,88226,41414,107960,43304,153510,42520
184,[08:48:59.288],83057,42086,105520,45102,105240,45674,165330,41226
185,[08:48:59.348],75825,44103,91907,47504,103550,44917,165180,42721
186,[08:48:59.408],82614,43910,102310,46341,100570,46731,157350,46433
187,[08:48:59.468],79413,44114,96783,43677,88803,44631,172670,45870
188,[08:48:59.528],87825,44996,95837,47343,98830,46108,155680,46204
189,[08:48:59.588],91340,43421,94871,46572,95648,41093,162160,44913
190,[08:48:59.648],82584,47864,107190,41490,103880,45307,155970,47228
191,[08:48:59.708],91006,45707,110800,47088,95992,47975,171770,46564
192,[08:48:59.768],84777,46363,112290,44118,107830,47575,163450,44304
193,[08:48:59.828],83144,45262,106430,45927,97378,47091,172100,42190
194,[08:48:59.888],82973,43798,107200,39886,103690,44813,145140,46136
195,[08:48:59.948],89776,46029,107280,44297,109630,44180,165590,45480
196,[08:49:00.008],87808,47506,103710,37894,110340,45820,167790,45384
197,[08:49:00.068],82661,45901,100290,47100,88445,46312,167920,40337
198,[08:49:00.129],88128,44736,93330,44004,108800,44540,149550,45377
199,[08:49:00.188],82024,46313,107870,46814,101130,43181,164330,42569
200,[08:49:00.248],91821,45428,106480,46230,105790,46481,145120,43133
201,[08:49:00.308],84886,44079,100900,42677,120030,47092,147230,46001
202,[08:49:00.368],85322,41866,102220,47602,113420,45624,155680,45609
203,[08:49:00.428],74191,40146,86538,44488,104290,44724,170480,41351
204,[08:49:00.488],82012,46118,106500,44748,102010,47374,161530,45490
205,[08:49:00.548],82522,44949,95385,45622,107260,43944,161640,42578
206,[08:49:00.608],78046,43640,99049,45026,105050,42299,153760,43721
207,[08:49:00.669],78480,47359,96703,47217,99518,46156,167390,47742
208,[08:49:00.728],77467,47850,107140,44335,110850,43832,153880,45464
209,[08:49:00.788],82317,46316,101940,44348,94474,45529,168850,46787
210,[08:49:00.848],84191,44089,96362,44178,99414,46073,165320,43500
211,[08:49:00.909],79110,45719,95990,42869,109450,46278,175240,43699
212,[08:49:00.968],78326,45428,101760,44676,94259,45507,175200,44997
213,[08:49:01.029],83639,45476,104300,46281,98790,46659,180220,45087
214,[08:49:01.088],81421,47002,96045,46235,103980,41951,155340,42837
215,[08:49:01.148],85192,45041,102630,45719,95359,46194,142510,44762
216,[08:49:01.208],87378,44675,99543,45162,104930,43310,168850,44286
217,[08:49:01.268],83846,44417,98727,44403,91567,44560,180680,44954
218,[08:49:01.328],76170,48181,96916,41075,100790,39626,163920,42919
219,[08:49:01.388],88374,41933,98104,45162,109240,43553,155300,45636
220,[08:49:01.448],85540,46960,102090,46334,110850,46607,151780,46229
221,[08:49:01.508],87891,43566,99475,44611,90295,44108,154410,44863
222,[08:49:01.568],88594,44737,100880,46258,100710,44927,178120,44507
223,[08:49:01.629],98350,43938,111230,46549,93490,43987,155050,45245
224,[08:49:01.688],87773,44556,110150,45667,99035,46419,180120,45338
225,[08:49:01.748],79413,42544,104730,44953,89128,47475,158420,44569
226,[08:49:01.808],90688,45805,94648,45533,104860,48868,179590,37999
227,[08:49:01.868],76927,45299,104060,47212,104040,44390,153370,46732
228,[08:49:01.928],77958,44198,100070,44441,109070,47025,171400,44693
229,[08:49:01.988],90606,45275,102200,46590,111250,46419,145110,43299
230,[08:49:02.048],85828,45321,112270,42267,107870,45429,155740,42516
231,[08:49:02.108],87069,43651,105170,41514,80577,44373,162170,44299
232,[08:49:02.168],85116,46346,111310,44475,101140,44732,154400,45677
233,[08:49:02.228],80840,43598,93502,46675,102460,45177,140180,42857
234,[08:49:02.288],85046,41231,111230,47139,106140,47506,176210,41858
235,[08:49:02.349],77958,43468,103870,45570,101420,43526,154000,45135
236,[08:49:02.409],90566,45400,92150,46710,101880,46068,165000,43877
237,[08:49:02.469],80272,43961,95096,44674,106870,45900,164080,40364
238,[08:49:02.529],76410,44015,111060,48091,92315,46572,170660,46934
239,[08:49:02.589],82482,44577,106730,42104,99661,45371,165300,44826
240,[08:49:02.648],82244,44539,105860,45929,96406,44524,156320,47306
241,[08:49:02.709],80531,44794,106190,46418,96438,46196,157050,41849
242,[08:49:02.768],90164,40054,91589,44415,105490,43595,155990,46203
243,[08:49:02.829],85076,45781,111270,47865,99315,44173,161930,44504
244,[08:49:02.888],84266,44545,105340,44606,101880,45746,148760,42207
245,[08:49:02.948],87333,43514,103460,46618,102000,42749,153500,45528
246,[08:49:03.008],79778,46684,95736,48408,108290,44217,153910,44418
247,[08:49:03.068],78636,39411,101040,47085,92454,45694,169160,44799
248,[08:49:03.128],74757,45279,92535,44237,103180,45691,157980,45900
249,[08:49:03.189],77346,46555,91962,47237,94638,45003,167930,46354
250,[08:49:03.248],84428,43520,96342,44648,104960,43132,164240,42010
251,[08:49:03.309],84696,43842,99849,48590,94898,46512,158400,43781
252,[08:49:03.369],92943,47425,94886,47565,104860,45911,164030,45615
253,[08:49:03.429],90677,44825,108220,47273,92469,45053,166300,40929
254,[08:49:03.489],75182,45225,100770,46327,104780,46680,153200,46351
255,[08:49:03.548],86784,46676,98196,44109,99981,45145,143280,45624
256,[08:49:03.608],90665,43069,91668,41480,105630,46430,137660,47587
257,[08:49:03.668],79523,44079,99069,45207,99466,46520,154620,46000
258,[08:49:03.728],81794,45448,98630,42210,100640,46082,166750,44399
259,[08:49:03.789],81548,42184,100760,44297,110010,47010,169370,46297
260,[08:49:03.849],81966,43543,89096,44057,102950,46983,166440,44932
261,[08:49:03.909],89867,46806,93712,47632,104200,48491,152410,46780
262,[08:49:03.969],87569,46061,97882,41290,110540,45238,150180,44063
263,[08:49:04.029],77541,45933,98203,45825,108440,45001,159400,43763
264,[08:49:04.089],91909,44621,94340,45739,100900,47166,139110,44152
265,[08:49:04.149],88058,46650,115830,45769,99020,44979,163540,45110
266,[08:49:04.209],90051,45744,101240,46235,106160,44764,164490,43565
267,[08:49:04.269],82227,44990,96862,38562,100800,45229,173150,44638
268,[08:49:04.329],87402,45865,102730,45945,93374,46726,157910,42915
